,phi_loss,phi_std,avg_pred_loss,avg_pred_std,before_loss,before_std,folder,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/learning_rate,config/alpha,config/phi_first_out,config/phi_second_out,config/discrim_hidden,config/dim_a,config/gamma,config/SN,logdir
169,3.3232650445594727,0.6676474448846759,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,06_28_202417_13_12_cmd_res_ex_100_256_a6_h20_e500,1719612255,,True,1,92414e4f,2024-06-28_18-04-15,3062.9081921577454,3062.9081921577454,3774194,CICSUNIX-US-003,172.31.105.37,3062.9081921577454,1,0.0026885436964421104,0.13401774134005662,100,256,20,6,20,6,92414e4f
170,2.6967721453670874,0.5501412974460139,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,06_28_202417_15_28_cmd_res_ex_100_256_a6_h20_e500,1719612406,,True,1,6fded5ca,2024-06-28_18-06-46,3077.6865425109863,3077.6865425109863,3938488,CICSUNIX-US-003,172.31.105.37,3077.6865425109863,1,0.0011587632090093976,0.13902283568705817,100,256,20,6,20,6,6fded5ca
171,2.651675148472318,0.551004955294307,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,06_28_202417_17_29_cmd_res_ex_100_256_a6_h20_e500,1719612528,,False,1,dd73075f,2024-06-28_18-08-48,3078.9166843891144,3078.9166843891144,4082677,CICSUNIX-US-003,172.31.105.37,3078.9166843891144,1,0.0012074659218253667,0.13967833322838746,100,256,20,6,20,6,dd73075f
172,2.7051572026433544,0.5415208242884127,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,06_28_202417_19_14_cmd_res_ex_100_256_a6_h20_e500,1719612629,,True,1,42ed2397,2024-06-28_18-10-29,3074.1926906108856,3074.1926906108856,12528,CICSUNIX-US-003,172.31.105.37,3074.1926906108856,1,0.0011777587030290392,0.15365662679289305,100,256,20,6,20,4,42ed2397
173,2.747685592728602,0.5627844200399292,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,06_28_202417_21_12_cmd_res_ex_100_256_a6_h20_e500,1719612751,,True,1,ff5b6255,2024-06-28_18-12-31,3078.6530861854553,3078.6530861854553,149553,CICSUNIX-US-003,172.31.105.37,3078.6530861854553,1,0.002666870776147815,0.13993140288374747,100,256,20,6,20,6,ff5b6255
174,2.5355775049454246,0.5228135930745993,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,06_28_202417_21_15_cmd_res_ex_100_256_a6_h20_e500,1719612749,,False,1,27e51e94,2024-06-28_18-12-29,3074.359430551529,3074.359430551529,152310,CICSUNIX-US-003,172.31.105.37,3074.359430551529,1,0.0026380743558974797,0.1388403152775998,100,256,20,6,20,6,27e51e94
175,3.0351084202147725,0.6050396258514951,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,06_28_202417_24_32_cmd_res_ex_100_256_a6_h20_e500,1719612913,,True,1,21ae4d07,2024-06-28_18-15-13,3040.3496644496918,3040.3496644496918,383819,CICSUNIX-US-003,172.31.105.37,3040.3496644496918,1,0.0026731321798653105,0.14152630397561616,100,256,20,6,20,6,21ae4d07
176,2.537619245020396,0.5001258311470445,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,06_28_202417_34_22_cmd_res_ex_100_256_a6_h20_e500,1719613491,,False,1,e649e102,2024-06-28_18-24-51,3028.7094101905823,3028.7094101905823,1108965,CICSUNIX-US-003,172.31.105.37,3028.7094101905823,1,0.0011361790935741493,0.1332432969522149,100,256,20,6,20,6,e649e102
177,2.7508896607382383,0.6028820608678467,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,06_28_202417_42_51_cmd_res_ex_100_256_a6_h100_e500,1719614022,,True,1,d5aa7d57,2024-06-28_18-33-42,3051.003727912903,3051.003727912903,1736968,CICSUNIX-US-003,172.31.105.37,3051.003727912903,1,0.0011804529726026237,0.14107264460027724,100,256,100,6,20,6,d5aa7d57
178,2.5858970537716672,0.5460935790627498,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,06_28_202417_44_11_cmd_res_ex_100_256_a6_h100_e500,1719614109,,False,1,d8749f87,2024-06-28_18-35-09,3057.897125005722,3057.897125005722,1835497,CICSUNIX-US-003,172.31.105.37,3057.897125005722,1,0.0011832033734922394,0.15404372880600656,100,256,100,6,20,6,d8749f87
179,2.6509288101699005,0.5180285464463513,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,06_28_202417_47_42_cmd_res_ex_100_256_a6_h20_e500,1719614308,,False,1,87892c86,2024-06-28_18-38-28,3046.1692333221436,3046.1692333221436,2096002,CICSUNIX-US-003,172.31.105.37,3046.1692333221436,1,0.0012265313455268787,0.1557541880027943,100,256,20,6,20,6,87892c86
